<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.23,10:31:00,1800000,1800000,1791000,1792000,22
2020.11.23,10:33:00,1800000,1800000,1800000,1800000,2
2020.11.23,10:35:00,1805000,1805000,1805000,1805000,16
2020.11.23,10:37:00,1800000,1800000,1800000,1800000,4
2020.11.23,10:40:00,1800000,1800000,1800000,1800000,6
2020.11.23,10:42:00,1800000,1800000,1800000,1800000,4
2020.11.23,10:43:00,1798000,1798000,1798000,1798000,2
2020.11.23,10:47:00,1802000,1802000,1802000,1802000,2
2020.11.23,10:49:00,1798000,1798000,1798000,1798000,36
2020.11.23,10:50:00,1798000,1806000,1798000,1806000,18
2020.11.23,10:51:00,1807000,1820000,1807000,1820000,18
2020.11.23,10:52:00,1802000,1802000,1802000,1802000,1
2020.11.23,10:53:00,1801000,1818000,1801000,1818000,15
2020.11.23,10:54:00,1820000,1820000,1820000,1820000,10
2020.11.23,10:56:00,1818000,1819000,1818000,1819000,7
2020.11.23,10:59:00,1817000,1819000,1812000,1812000,10
2020.11.23,11:00:00,1819000,1819000,1819000,1819000,3
2020.11.23,11:03:00,1818000,1819000,1818000,1819000,4
2020.11.23,11:04:00,1822000,1823000,1822000,1823000,4
2020.11.23,11:07:00,1823000,1823000,1823000,1823000,2
2020.11.23,11:11:00,1825000,1825000,1825000,1825000,6
2020.11.23,11:14:00,1821000,1821000,1820000,1820000,11
2020.11.23,11:15:00,1820000,1820000,1820000,1820000,20
2020.11.23,11:17:00,1820000,1820000,1819000,1819000,4
2020.11.23,11:19:00,1818000,1818000,1818000,1818000,2
2020.11.23,11:28:00,1823000,1823000,1823000,1823000,2
2020.11.23,11:32:00,1819000,1819000,1818000,1818000,8
2020.11.23,11:33:00,1817000,1817000,1816000,1816000,6
2020.11.23,11:34:00,1815000,1815000,1815000,1815000,2
2020.11.23,11:36:00,1813000,1813000,1813000,1813000,2
2020.11.23,11:38:00,1813000,1813000,1807000,1807000,18
2020.11.23,11:39:00,1810000,1810000,1810000,1810000,2
2020.11.23,11:41:00,1810000,1810000,1810000,1810000,4
2020.11.23,11:42:00,1810000,1810000,1808000,1808000,10
2020.11.23,11:43:00,1810000,1810000,1808000,1808000,18
2020.11.23,11:44:00,1808000,1808000,1806000,1806000,16
2020.11.23,11:45:00,1805000,1805000,1800000,1800000,22
2020.11.23,11:46:00,1800000,1800000,1800000,1800000,2
2020.11.23,11:48:00,1800000,1800000,1799000,1799000,4
2020.11.23,11:50:00,1800000,1800000,1800000,1800000,3
2020.11.23,11:52:00,1800000,1800000,1799000,1800000,18
2020.11.23,11:55:00,1798000,1798000,1798000,1798000,2
2020.11.23,11:57:00,1797000,1797000,1794000,1794000,5
