<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021.03.02,10:00:00,225000,225000,219900,222400,962
2021.03.02,11:00:00,222200,222400,218200,218800,1170
2021.03.02,12:00:00,218600,219900,215900,216300,1295
2021.03.02,13:00:00,216500,216500,213800,213800,2395
2021.03.02,14:00:00,213900,214400,213800,213800,315
2021.03.03,10:00:00,210100,213500,210100,212500,2602
2021.03.03,11:00:00,212500,213900,211200,211500,1464
2021.03.03,12:00:00,211500,212700,211300,212700,580
2021.03.03,13:00:00,212600,213100,211800,212000,490
2021.03.03,14:00:00,211800,213600,211600,212500,539
2021.03.04,10:00:00,211000,212000,211000,211600,290
2021.03.04,11:00:00,211700,212100,211400,212000,270
2021.03.04,12:00:00,212000,212000,205100,206200,2118
2021.03.04,13:00:00,206200,207200,205800,205900,413
2021.03.04,14:00:00,205900,206100,203800,204700,855
2021.03.06,10:00:00,197500,202000,196800,196900,884
2021.03.06,11:00:00,197100,197800,195300,195400,1621
2021.03.06,12:00:00,195400,196300,195400,195900,452
2021.03.06,13:00:00,195900,195900,195300,195300,449
2021.03.06,14:00:00,195300,195300,195300,195300,92
2021.03.07,10:00:00,192600,194000,189700,191500,897
2021.03.07,11:00:00,191500,194400,191400,192100,1205
2021.03.07,12:00:00,192300,193200,191600,193200,224
2021.03.07,13:00:00,193200,194000,192200,192900,246
2021.03.07,14:00:00,192900,195300,192900,195000,790
2021.03.08,10:00:00,194800,198000,194800,195400,1072
2021.03.08,11:00:00,195500,196300,193300,194700,1100
2021.03.08,12:00:00,194600,195500,193500,193700,686
2021.03.08,13:00:00,193700,194200,193700,194100,172
2021.03.08,14:00:00,194200,195400,194200,194900,500
2021.03.09,10:00:00,194800,195600,193900,195500,341
2021.03.09,11:00:00,195400,196800,195200,196000,1557
2021.03.09,12:00:00,196100,197500,196000,197100,865
2021.03.09,13:00:00,197100,197100,194900,195000,970
2021.03.09,14:00:00,195300,195600,194700,194900,846
2021.03.10,10:00:00,196000,196000,194300,194500,665
2021.03.10,11:00:00,194600,195800,194500,195100,598
2021.03.10,12:00:00,195100,195500,195100,195400,232
2021.03.10,13:00:00,195400,195600,195100,195100,239
2021.03.10,14:00:00,195000,195000,194400,194800,794
2021.03.13,10:00:00,196500,200000,196500,198600,2548
2021.03.13,11:00:00,198500,198600,197400,197600,1454
2021.03.13,12:00:00,197800,198500,197800,198300,316
2021.03.13,13:00:00,198300,198400,197800,198000,211
2021.03.13,14:00:00,198200,198300,197700,198000,624
2021.03.14,10:00:00,197100,197600,196700,196800,247
2021.03.14,11:00:00,196800,197500,196000,196800,682
2021.03.14,12:00:00,197000,197300,196500,197300,127
2021.03.14,13:00:00,197000,197400,196200,196400,221
2021.03.14,14:00:00,196500,196500,195500,195900,605
2021.03.15,10:00:00,195800,195900,194500,194500,250
2021.03.15,11:00:00,194800,195300,188800,191400,887
2021.03.15,12:00:00,191600,193200,191600,192300,649
2021.03.15,13:00:00,192400,193200,192400,192800,595
2021.03.15,14:00:00,192800,194100,192500,193300,659
2021.03.16,10:00:00,193600,193800,192600,193100,164
2021.03.16,11:00:00,193100,195600,193000,195400,475
2021.03.16,12:00:00,195400,195800,194600,194600,369
2021.03.16,13:00:00,194800,194900,194500,194600,94
2021.03.16,14:00:00,194800,196500,193800,195000,1005
2021.03.17,10:00:00,196000,197300,195100,196900,223
2021.03.17,11:00:00,196900,197200,196600,196900,241
2021.03.17,12:00:00,196800,197100,196500,196600,246
2021.03.17,13:00:00,196800,197000,196700,196700,42
2021.03.17,14:00:00,196800,197300,196700,196900,349
2021.03.18,10:00:00,199900,201400,198300,199600,147
2021.03.18,11:00:00,199800,201600,199800,200000,370
2021.03.18,12:00:00,200500,200500,199700,200000,88
2021.03.18,13:00:00,200200,200400,199100,199500,368
2021.03.18,14:00:00,199600,199900,199000,199500,492
2021.03.25,10:00:00,198100,198200,196600,196600,113
